trial_id,cancer_type,status,facility,address,city,province,latitude,longitude,principal_investigator,url
OCN-18-9864,Breast Cancer,Recruiting,CancerCare Manitoba Integrated Cancer Centre,"1680 Queen Street, Vancouver, British Columbia, V1B 9C9",Vancouver,British Columbia,49.3042,-123.1455,Jessica Jones,https://cancertrialscanada.com/trial/OCN-18-9864
OCN-22-5515,Thyroid Cancer,Recruiting,Pembroke Regional University Health Network,"3612 Cedar Blvd, Sudbury, Ontario, P7B 5A2",Sudbury,Ontario,46.4599,-80.975,Deborah Chen,https://cancertrialscanada.com/trial/OCN-22-5515
IND-24-5926,Colorectal Cancer,"Active, not recruiting",Hamilton Health Sciences Community Cancer Centre,"4334 Dundas Street, Victoria, British Columbia, V5Z 8X1",Victoria,British Columbia,48.418,-123.3841,Carlos Bailey,https://cancertrialscanada.com/trial/IND-24-5926
OCN-20-4375,Lymphoma,Recruiting,Moncton City Hospital Advanced Cancer Research Institute,"4742 Medical Centre Blvd, Summerside, Prince Edward Island, C1N 2R4",Summerside,Prince Edward Island,46.4105,-63.8354,Karen Bell,https://cancertrialscanada.com/trial/OCN-20-4375
CancerCare-16-4387,Ovarian Cancer,Completed,St. Paul's Regional Cancer Program,"7574 Oak Ave, Nanaimo, British Columbia, V6Y 9K5",Nanaimo,British Columbia,49.1735,-123.9366,Raj Davis,https://cancertrialscanada.com/trial/CancerCare-16-4387
CTEP-14-9578,Ovarian Cancer,Completed,Muskoka Algonquin Cancer Research Centre,"3484 King Street, Burnaby, British Columbia, V2L 7T2",Burnaby,British Columbia,49.2913,-122.9733,Andrew Young,https://cancertrialscanada.com/trial/CTEP-14-9578
CCTG-19-7669,Bone Cancer,Recruiting,CancerCare Manitoba Medical Sciences Centre,"8086 Medical Centre Blvd, Dartmouth, Nova Scotia, B3H 2G2",Dartmouth,Nova Scotia,44.6599,-63.5981,Aisha Chen,https://cancertrialscanada.com/trial/CCTG-19-7669
QCI-18-2928,Lymphoma,"Active, not recruiting",Princess Margaret Provincial Cancer Agency,"1877 Queen Street, Gander, Newfoundland and Labrador, A2V 5N1",Gander,Newfoundland and Labrador,49.0071,-54.5739,Joshua Zhang,https://cancertrialscanada.com/trial/QCI-18-2928
CancerCare-17-0320,Adrenal Cancer,Recruiting,William Osler Medical Sciences Centre,"9978 Clinical Ave, St. John's, Newfoundland and Labrador, A2H 6H8",St. John's,Newfoundland and Labrador,47.5971,-52.7302,Luis Bouchard,https://cancertrialscanada.com/trial/CancerCare-17-0320
BCCA-12-7788,Gallbladder Cancer,"Active, not recruiting",Winchester District Memorial Oncology Research Institute,"3924 University Ave, Campbell River, British Columbia, V5C 2C7",Campbell River,British Columbia,50.0063,-125.1915,Priya Wilson,https://cancertrialscanada.com/trial/BCCA-12-7788
OCN-11-5540,Liver Cancer,Recruiting,Lakeridge Health Cancer Treatment Centre,"8836 Wellington Street, Corner Brook, Newfoundland and Labrador, A2H 5R5",Corner Brook,Newfoundland and Labrador,48.9265,-57.9128,Sarah Côté,https://cancertrialscanada.com/trial/OCN-11-5540
OCN-18-2168,Bladder Cancer,Completed,Princess Margaret Comprehensive Cancer Centre,"965 Oncology Blvd, Thunder Bay, Ontario, K1Y 1N1",Thunder Bay,Ontario,48.3854,-89.2312,Betty Perez,https://cancertrialscanada.com/trial/OCN-18-2168
UHN-10-6597,Penile Cancer,Completed,Winchester District Memorial University Health Network,"3120 Health Sciences Way, Montague, Prince Edward Island, C1A 7P6",Montague,Prince Edward Island,46.1573,-62.6215,Susan Yang,https://cancertrialscanada.com/trial/UHN-10-6597
CTEP-23-0242,Prostate Cancer,Recruiting,Humber River Regional Cancer Program,"6913 Research Drive, Saskatoon, Saskatchewan, S6V 8K1",Saskatoon,Saskatchewan,52.1049,-106.701,Sarah Lavoie,https://cancertrialscanada.com/trial/CTEP-23-0242
NCI-14-6931,Brain Cancer,Recruiting,Grand River General Hospital Cancer Program,"7887 Clinical Ave, Campbell River, British Columbia, V9N 7B2",Campbell River,British Columbia,50.0454,-125.2664,Barbara Smith,https://cancertrialscanada.com/trial/NCI-14-6931
BCCA-10-8321,Adrenal Cancer,Suspended,The Ottawa Hospital Community Cancer Centre,"8884 University Ave, Grand Falls-Windsor, Newfoundland and Labrador, A1V 1B9",Grand Falls-Windsor,Newfoundland and Labrador,48.8955,-55.6803,Lisa Gagnon,https://cancertrialscanada.com/trial/BCCA-10-8321
IND-18-5184,Cervical Cancer,Completed,Collingwood General Centre for Cancer Medicine,"3854 Oak Ave, Courtenay, British Columbia, V8W 4Y9",Courtenay,British Columbia,49.6586,-124.9805,John Taylor,https://cancertrialscanada.com/trial/IND-18-5184
UHN-11-8809,Bone Cancer,Not yet recruiting,Sunnybrook University Health Network,"2145 Queen Street, Brandon, Manitoba, R5G 8N1",Brandon,Manitoba,49.867,-99.9686,James Liu,https://cancertrialscanada.com/trial/UHN-11-8809
CTEP-10-9087,Bone Cancer,Not yet recruiting,Juravinski Clinical Trials Unit,"4003 Centre Street, Terrebonne, Quebec, J1H 3T8",Terrebonne,Quebec,45.6765,-73.5967,Stephanie Collins,https://cancertrialscanada.com/trial/CTEP-10-9087
QCI-18-8005,Multiple Myeloma,Recruiting,QEII Health Sciences Clinical Trials Unit,"1754 Richmond Road, Winnipeg, Manitoba, C0N 3L4",Winnipeg,Manitoba,49.9439,-97.1766,Emily Adams,https://cancertrialscanada.com/trial/QCI-18-8005
UHN-24-2443,Uterine Cancer,Recruiting,Mount Sinai Cancer Care Centre,"59 Park Road, Winnipeg, Manitoba, R7A 5H7",Winnipeg,Manitoba,49.8592,-97.1476,Ashley Chen,https://cancertrialscanada.com/trial/UHN-24-2443
CTEP-24-6659,Head and Neck Cancer,Recruiting,Allan Blair University Health Network,"2089 University Ave, St. John's, Newfoundland and Labrador, A1V 6B5",St. John's,Newfoundland and Labrador,47.5935,-52.7017,Donald Roberts,https://cancertrialscanada.com/trial/CTEP-24-6659
UHN-16-0635,Bladder Cancer,Recruiting,Dr. H. Bliss Murphy Advanced Cancer Research Institute,"2901 Maple Drive, Summerside, Prince Edward Island, C1A 3N6",Summerside,Prince Edward Island,46.4326,-63.8163,Mohammed Roberts,https://cancertrialscanada.com/trial/UHN-16-0635
CTEP-16-8786,Gallbladder Cancer,Recruiting,Hamilton Health Sciences Oncology Research Institute,"3729 Oncology Blvd, Saint John, New Brunswick, E1C 4R5",Saint John,New Brunswick,45.24,-66.0182,Kenneth Wilson,https://cancertrialscanada.com/trial/CTEP-16-8786
IND-13-4174,Prostate Cancer,Recruiting,Sault Area Hospital Community Cancer Centre,"4350 University Ave, Saskatoon, Saskatchewan, S7N 7P5",Saskatoon,Saskatchewan,52.0915,-106.623,Jessica Roy,https://cancertrialscanada.com/trial/IND-13-4174
CTEP-14-6692,Mesothelioma,Terminated,Winchester District Memorial Medical Sciences Centre,"3229 Centre Street, Barrie, Ontario, N2E 2N9",Barrie,Ontario,44.3836,-79.688,Mary Martin,https://cancertrialscanada.com/trial/CTEP-14-6692
CCTG-22-9503,Kidney Cancer,Recruiting,Royal Victoria University Health Network,"6212 Queen Street, Moose Jaw, Saskatchewan, S4P 5R8",Moose Jaw,Saskatchewan,50.4097,-105.5246,Raj Smith,https://cancertrialscanada.com/trial/CCTG-22-9503
OCN-20-5086,Colorectal Cancer,Completed,Saint John Regional Medical Sciences Centre,"7753 Dundas Street, Stratford, Prince Edward Island, C1N 2M8",Stratford,Prince Edward Island,46.2065,-63.0958,Amanda Rogers,https://cancertrialscanada.com/trial/OCN-20-5086
HREBA.CC-24-1747,Leukemia,Completed,Trillium Health Community Cancer Centre,"1194 Cedar Blvd, Longueuil, Quebec, G6V 4R7",Longueuil,Quebec,45.4947,-73.5454,Elizabeth Roberts,https://cancertrialscanada.com/trial/HREBA.CC-24-1747
CTEP-19-5199,Head and Neck Cancer,"Active, not recruiting",Quinte Health General Hospital Cancer Program,"823 Birch Road, Sydney, Nova Scotia, B1P 2T2",Sydney,Nova Scotia,46.1076,-60.1442,Mohammed Yang,https://cancertrialscanada.com/trial/CTEP-19-5199
CTEP-17-3920,Vulvar Cancer,Completed,Lakeridge Health Centre for Cancer Medicine,"8977 Cedar Blvd, Bathurst, New Brunswick, E2L 8T4",Bathurst,New Brunswick,47.6515,-65.6108,Laura Roberts,https://cancertrialscanada.com/trial/CTEP-17-3920
CCTG-16-5422,Multiple Myeloma,Recruiting,Mount Sinai Cancer Research Centre,"5239 Birch Road, Thompson, Manitoba, R3E 3G3",Thompson,Manitoba,55.6977,-97.8814,Barbara Hall,https://cancertrialscanada.com/trial/CCTG-16-5422
